foot,step_id,surface,contact_time_sec,stance_duration,time_to_peak_frac,impact_mag,impact_mag_norm,accel_mag_strike,loading_rate,loading_rate_norm,heel_pmax_ratio,fore_pmax_ratio,heel_mean_ratio,fore_mean_ratio,heel_fore_ratio,total_pmax,total_p_mean,midstance_diff,heel_impulse,heel_impulse_norm,rise_slope,fall_slope,slope_asym,heel_skew,heel_kurt,gyro_mag_strike,gyro_x_strike,gyro_y_strike,gyro_z_strike,gyro_x_std,gyro_y_std,gyro_z_std,pressure_01_mean_ratio,pressure_02_mean_ratio,pressure_03_mean_ratio,pressure_04_mean_ratio,pressure_05_mean_ratio,pressure_06_mean_ratio,pressure_07_mean_ratio,pressure_08_mean_ratio,pressure_09_mean_ratio,pressure_10_mean_ratio,pressure_11_mean_ratio,pressure_12_mean_ratio,accel_spec_centroid,accel_hf_frac,accel_spec_entropy,accel_zcr,accel_jerk_ratio,gyro_hf_frac,heel_ripple_frac,impact_mag_roll3_std,loading_rate_roll3_std,stance_duration_roll3_std,source_user,source_recording
right,10,grass,11.504,1.056000000000001,1.0,14840.0,0.779854227431502,36190.13505086711,1140.625,0.29503996256675347,0.2170608108108108,0.49915540540540543,0.13912755028310933,0.4446984327171927,0.3128581979318984,5920.0,4544.417910447762,-5.699999999999989,614.0223880597015,0.13511573982842653,1.9242424242424243,0.0,1.9242424242424243,0.663373033485905,-1.3373452031716726,11046790.570113927,8941845.0,1893682.0,6203947.0,4165088.5553049147,1277938.8261896763,2085186.5041014336,0.08027233673590035,0.08991841721514995,0.06295077444527647,0.10080597485516099,0.08103101722303235,0.09304510043484543,0.10469790722421471,0.06533191450229246,0.07989792298900406,0.09299583546814855,0.07379563578081687,0.07525716312615773,4.657136952664193,0.2589824454247971,0.6174878618079089,0.06060606060606061,0.5196141845126303,0.15013683884757775,0.003733938733264388,1371.132378729353,326.4777601377822,0.056190153348548724,Catherine,REC_20260519_154549.csv
right,11,grass,12.576,1.1679999999999993,0.0273972602739726,14568.0,0.755373070101556,34255.16803345153,773.4375,0.20006134448019586,0.22078576225654803,0.4924445936870383,0.14810289610919775,0.43436175778936653,0.3409667021859328,5956.0,4700.621621621622,-56.19999999999999,678.777027027027,0.14440154551151946,12.0,-0.43661971830985913,11.56338028169014,0.5112998175721264,-1.475510448039301,11037062.538782816,8841663.0,2269975.0,6203947.0,3943504.385200989,1385302.1799743334,1987275.1645919345,0.08061038505545558,0.09089942100814728,0.062119443661850356,0.0988512157678973,0.08259402149226956,0.08743811916767764,0.1049228681657975,0.07039321998815568,0.07457898035337476,0.09609424860426741,0.07770967612104207,0.07378840061406484,4.22453956939365,0.19922374077069435,0.5479938947171273,0.0958904109589041,0.5153550951957252,0.11758581714773622,0.0006565320737043458,1546.3626137919105,184.27124552431752,0.11200000000000011,Catherine,REC_20260519_154549.csv
right,12,grass,13.76,0.9600000000000009,1.0,15788.0,0.865178261066755,36391.18916715968,520.8333333333333,0.13472144409440795,0.215312604480107,0.5048478769642261,0.14235580648732427,0.4472600464961807,0.3182842008859565,5982.0,4442.459016393443,-1.8999999999999773,611.4262295081967,0.13763238495885455,0.26666666666666666,0.0,0.26666666666666666,0.7367317367517561,-1.2295096107143997,11456882.145677635,9093339.0,1563815.0,6791599.0,4515509.216378717,1300411.0532861657,2255279.5309549943,0.08063397173327429,0.09119155688401787,0.053935569578213216,0.10065685080630281,0.08142735894313442,0.09237979261227351,0.10535075095021956,0.068917672238828,0.08160448725045204,0.09122107826857079,0.07343813424849625,0.0792427764862172,4.532570853261915,0.29592664781938205,0.5223955819460118,0.08333333333333333,0.49145176059044726,0.10387251081341199,0.0005609060086606978,640.4540056345601,311.6561233269384,0.10410251357836256,Catherine,REC_20260519_154549.csv
right,13,grass,14.736,1.0399999999999991,0.0,10452.0,0.3849155569763435,31430.37136274403,625.0,0.16166573291328956,0.21119511018175968,0.49010776902042785,0.10653092637349283,0.47946342978275247,0.22218780360728052,6217.0,4488.666666666667,54.69999999999999,459.3030303030303,0.10232504759461539,0.0,-2.0615384615384613,-2.0615384615384613,1.7313237219431958,1.4500688031697582,10427679.045894632,7652919.0,2091602.0,6767165.0,3896990.3421388003,1546983.428267211,1910228.2524892222,0.09138841256767885,0.10193348905661397,0.05943251016026895,0.10460013772058922,0.08948800345651674,0.09598922538919569,0.10012421857067631,0.05444013880075071,0.0874525741598369,0.07810580181737169,0.05209078757274212,0.08495470072775879,4.248785043385171,0.17256710366915035,0.5502579149784742,0.06153846153846154,0.3771056667515859,0.06927703243213286,0.006267869204333039,2795.9122542264026,126.9470039478774,0.10491901638883125,Catherine,REC_20260519_154549.csv
left,10,grass,11.008,1.008000000000001,0.9841269841269841,37319.0,2.8030598730927387,39075.33161727485,4000.0,1.0346606906450533,0.19747899159663865,0.5181335692171606,0.10492450117272775,0.465761604272455,0.22527511973975758,4522.0,3270.953125,-69.80000000000001,329.6875,0.10079248689936515,0.5483870967741935,-22.0,-21.451612903225808,1.102542235676501,-0.41473058927170303,6602929.108670106,5886297.0,2107485.0,2123367.0,4015376.4176586154,833764.3484596177,1086369.3000496842,0.10036256633913089,0.0784796098232071,0.06047549213961909,0.11316464524388438,0.08163236059825835,0.11023640853917771,0.11089562006487023,0.05431807433804176,0.08224858006792744,0.08020884585437157,0.05060642683468599,0.07737137015682546,3.9568923519278987,0.19678472787287912,0.5185357839463776,0.06349206349206349,0.4132957992099159,0.3120583712244284,0.006731721895794339,17393.87860714223,1719.7703200438439,0.02771281292110204,Catherine,REC_20260519_154549.csv
left,11,grass,12.032,1.1199999999999992,1.0,14477.0,0.7471826829066108,35244.4960951352,437.5,0.1131660130393027,0.20352839931153185,0.53184165232358,0.10718407976489656,0.46080927316038933,0.23259965892119205,4648.0,3441.0985915492956,65.30000000000001,355.9577464788732,0.10344305372506324,0.9142857142857143,0.0,0.9142857142857143,1.0472729239369674,-0.5586508481652452,10332527.7856721,9191078.0,1849699.0,4343251.0,4316788.095502441,634051.0361994721,1351216.869927604,0.10253440188606652,0.08062443209260063,0.06094516163360866,0.11011468659697608,0.08130387445869729,0.10859617383901309,0.1099141283081885,0.05441678468225837,0.08017010617310227,0.08006368748925581,0.0527672950826382,0.0785492677575946,4.591748492765788,0.22433988919772752,0.5530258484091329,0.11428571428571428,0.4806271345619493,0.22815168664319574,0.003977549025026726,12438.931076798095,1988.5741332254463,0.08210562303114924,Catherine,REC_20260519_154549.csv
left,12,grass,13.168,1.040000000000001,0.015384615384615385,43019.0,3.3160841259629312,44723.33611214619,2569.444444444445,0.6646257908657461,0.2074652777777778,0.521484375,0.12295960809686662,0.4471439134855347,0.2749888892332212,4608.0,3278.4848484848485,-58.400000000000006,389.04545454545456,0.11866623532674,2.0,-0.8125,1.1875,0.7313116349725531,-1.156179614135572,6781120.897796323,6174625.0,1685988.0,2239431.0,4177302.2564191106,695059.102243029,1354502.2459110543,0.09910805065163139,0.07546446067104169,0.05946020889176449,0.10855439504575283,0.07698493391256124,0.10499584065070709,0.11567150383584435,0.06390146963675016,0.08114428320547185,0.08452259913115816,0.05905813846011646,0.0711341159072003,3.8273768250990052,0.10941701065727151,0.45587254270404554,0.09230769230769231,0.521066050484495,0.1413010147252022,0.0033069135930488573,15104.594930020468,1792.720584369299,0.05768882040742288,Catherine,REC_20260519_154549.csv
left,13,grass,14.224,0.9759999999999991,0.01639344262295082,13194.0,0.6317072238833727,34754.073804375796,1136.1607142857142,0.2938852073316585,0.19716157205240176,0.5277292576419214,0.09818916765081469,0.46921296963063247,0.20926354130417057,4580.0,3359.7096774193546,-48.10000000000002,317.43548387096774,0.09448301024474082,1.0,-4.35,-3.3499999999999996,1.1333551706375171,-0.10990407243780131,10542966.881560855,9326690.0,2730567.0,4087910.0,4085149.1427855557,657702.1974621414,1333271.77232557,0.10234179220554772,0.08094017340207968,0.060729133661702725,0.11323463048842547,0.08241399506485776,0.11046941459995584,0.11144396117176024,0.051386928594060556,0.08215475607531372,0.07955276473581627,0.04680223905675414,0.07853021094372593,3.5259153307384605,0.22436624533896377,0.44570776613983115,0.06557377049180328,0.3765057436272089,0.10634706547573465,0.004328921636063032,16861.30915241558,1086.862162298842,0.07214799604516628,Catherine,REC_20260519_154549.csv
left,14,grass,15.216,1.072000000000001,1.0,9944.0,0.33919339549247374,32910.03260405556,0.0,0.0,0.1960576515472658,0.5228910555320051,0.0820182282431378,0.49061990212071777,0.1671726480898174,4718.0,3317.4117647058824,15.900000000000006,260.36764705882354,0.078485176253635,3.8208955223880596,0.0,3.8208955223880596,1.9357605271600997,2.8363637812593145,9489448.42724307,7816631.0,2568077.0,4728096.0,4051560.477787443,893381.7773994438,1185188.5480743889,0.10297272856230939,0.08158823320802894,0.05781438399886516,0.1177565784807433,0.08614086105397545,0.11666164266969288,0.10619547485637279,0.04358021845520958,0.08847258670827718,0.07026650826299737,0.03843800978792822,0.09011277395559969,3.5144331677523524,0.18694703904826473,0.5052155495055518,0.05970149253731343,0.4337713512475047,0.19893344280188577,0.01840700418054626,18230.234730615328,1287.5822415746482,0.048880807412863235,Catherine,REC_20260519_154549.csv
right,25,grass,26.112,1.056000000000001,0.0,7920.0,0.17861804387819225,30751.179652169445,520.8333333333334,0.13701517938947763,0.2079817158931083,0.47028832630098455,0.1405714368454775,0.43167264552888496,0.32564360586983804,5688.0,4123.149253731343,-58.19999999999999,562.3059701492538,0.13637778686773985,0.0,-0.7424242424242424,-0.7424242424242424,0.9216132194672441,-0.9628969635001634,10624272.571566112,8185594.0,1965764.0,6481280.0,3942334.0402499684,1406487.556707255,1906115.0650255275,0.09144944271694944,0.08611009552906596,0.05809571730057086,0.10167565004289576,0.08058975352125422,0.0883761506745677,0.10807200697916025,0.06925947779374554,0.07492099576110131,0.08995080560794351,0.07131195905173195,0.0801879450210135,3.541388432139418,0.12856436510700847,0.46340976715238036,0.09090909090909091,0.37537800667628207,0.038726697924747276,0.0025181180961554254,3519.62928919131,947.4303473379994,0.16342990342447614,Catherine,REC_20260520_190100.csv
